category,total_revenue,revenue_rank,revenue_pct
health_beauty,1258681.34,1,9.39
watches_gifts,1205005.68,2,8.99
bed_bath_table,1036988.68,3,7.73
sports_leisure,988048.97,4,7.37
computers_accessories,911954.32,5,6.80
furniture_decor,729762.49,6,5.44
cool_stuff,635290.85,7,4.74
housewares,632248.66,8,4.72
auto,592720.11,9,4.42
garden_tools,485256.46,10,3.62
toys,483946.60,11,3.61
baby,411764.89,12,3.07
perfumery,399124.87,13,2.98
telephony,323667.53,14,2.41
office_furniture,273960.70,15,2.04
stationery,230943.23,16,1.72
computers,222963.13,17,1.66
pet_shop,214315.41,18,1.60
musical_instruments,191498.88,19,1.43
small_appliances,190648.58,20,1.42
electronics,160246.74,21,1.20
consoles_games,157465.22,22,1.17
fashion_bags_accessories,152823.54,23,1.14
construction_tools_construction,144677.59,24,1.08
luggage_accessories,140429.98,25,1.05
home_appliances_2,113317.74,26,0.85
home_construction,83088.12,27,0.62
home_appliances,80171.53,28,0.60
agro_industry_and_commerce,72530.47,29,0.54
furniture_living_room,68916.56,30,0.51
fixed_telephony,59583.00,31,0.44
home_confort,58572.04,32,0.44
air_conditioning,55024.96,33,0.41
audio,50688.50,34,0.38
small_appliances_home_oven_and_coffee,47445.71,35,0.35
books_general_interest,46856.88,36,0.35
kitchen_dining_laundry_garden_furniture,46328.37,37,0.35
construction_tools_lights,41080.00,38,0.31
construction_tools_safety,40544.52,39,0.30
industry_commerce_and_business,39669.61,40,0.30
food,29393.41,41,0.22
market_place,28378.47,42,0.21
costruction_tools_garden,25715.89,43,0.19
art,24202.64,44,0.18
fashion_shoes,23562.77,45,0.18
drinks,22428.70,46,0.17
signaling_and_security,21509.23,47,0.16
furniture_bedroom,20028.78,48,0.15
books_technical,19096.06,49,0.14
costruction_tools_tools,15903.95,50,0.12
food_drink,15179.48,51,0.11
fashion_male_clothing,10797.82,52,0.08
fashion_underwear_beach,9541.55,53,0.07
christmas_supplies,8800.82,54,0.07
tablets_printing_image,7528.41,55,0.06
cine_photo,6933.46,56,0.05
music,6034.35,57,0.05
dvds_blu_ray,5999.39,58,0.04
books_imported,4639.85,59,0.03
party_supplies,4485.18,60,0.03
furniture_mattress_and_upholstery,4368.08,61,0.03
fashio_female_clothing,2803.64,62,0.02
fashion_sport,2119.51,63,0.02
la_cuisine,2054.99,64,0.02
arts_and_craftmanship,1814.01,65,0.01
diapers_and_hygiene,1567.59,66,0.01
flowers,1110.04,67,0.01
home_comfort_2,760.27,68,0.01
cds_dvds_musicals,730.00,69,0.01
fashion_childrens_clothes,569.85,70,0.00
security_and_services,283.29,71,0.00
